,Unidade,2020,2021,2022,2023,2024,Tipo Vaga
268,3-46,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
269,3-5,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
270,3-51,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
271,3-52,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
272,3-53,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
273,3-54,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
274,3-55,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
275,3-56,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
276,3-61,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
277,3-62,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
278,3-63,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
279,3-64,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
280,3-65,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
281,3-66,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
282,3-71,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
283,3-72,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
284,3-73,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
285,3-74,Coberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
286,3-75,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
287,3-76,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
288,3-81,Coberta,Descoberta,Descoberta,Descoberta,Coberta,Regular
289,3-82,Descoberta,Coberta,Descoberta,Coberta,Coberta,PNE
290,3-83,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
291,3-84,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
292,3-85,Descoberta,Coberta,Descoberta,Descoberta,Descoberta,Regular
293,3-86,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
294,3-91,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
295,3-92,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
296,3-93,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
297,3-94,Descoberta,Descoberta,Coberta,Descoberta,Descoberta,Regular
298,3-95,Descoberta,Descoberta,Descoberta,Descoberta,Coberta,PNE
299,3-96,Descoberta,Descoberta,Descoberta,Coberta,Descoberta,Regular
